Instructor,Term,Course,RcmndClass,RcmndInstr,Study Hrs/wk,Avg Grade Received
"Yuen Zhou, Joel",FA20,CHEM 126A - Phys Biochem: Thermodynamics (B),88.9%,88.9%,8.28,B (3.11)
"Sinha, Amitabha",FA20,CHEM 130 - Chem Physics: Quantum Mech (A),57.5%,60.0%,9.99,C+ (2.53)
"Esko, Jeffrey D.",FA20,CHEM 142 - Intro to Glycosciences (A),100.0%,100.0%,6.50,B+ (3.68)
"Godula, Kamil",FA20,CHEM 142 - Intro to Glycosciences (A),100.0%,100.0%,6.50,B+ (3.68)
"Ternansky, Robert J.",FA20,CHEM 143C - Organic Chemistry Laboratory (A),76.6%,72.3%,8.37,B+ (3.33)
"Theodorakis, Emmanuel",FA20,CHEM 152 - Synthetic Methods/Organic Chem (A),77.8%,88.9%,7.83,B (3.14)
"Tor, Yitzhak",FA20,CHEM 154 - Mechanisms/Organic Reactions (A),94.4%,94.4%,7.39,B+ (3.40)
"Slade, Jonathan",FA20,CHEM 171 - Environmental Chemistry I (A),93.3%,95.0%,5.47,B (3.23)
"Hoeger, Carl",FA20,CHEM 4 - Chemical Thinking (B),84.7%,76.4%,6.28,B (3.18)
"Oconnor, Joseph M.",FA20,CHEM 40A - Organic Chemistry I (A),61.3%,56.0%,9.57,C+ (2.43)
"Hoeger, Carl",FA20,CHEM 40A - Organic Chemistry I (B),72.5%,68.9%,9.02,B- (2.78)
"Albizati, Kim F.",FA20,CHEM 40A - Organic Chemistry I (C),82.8%,94.5%,8.04,B- (2.87)
"Albizati, Kim F.",FA20,CHEM 40A - Organic Chemistry I (D),86.9%,95.5%,7.64,B- (2.93)
"Perrin, Charles L.",FA20,CHEM 40A - Organic Chemistry I (E),73.2%,69.1%,7.48,C+ (2.32)
"Theodorakis, Emmanuel",FA20,CHEM 40B - Organic Chemistry II (A),65.1%,78.4%,7.96,B- (2.73)
"Ternansky, Robert J.",FA20,CHEM 40C - Organic Chemistry III (A),44.7%,51.3%,9.89,B- (2.71)
"Klosterman, Jeremy K",FA20,CHEM 43A - Organic Chemistry Laboratory (A),80.2%,86.0%,7.18,B (3.27)
"Klosterman, Jeremy K",FA20,CHEM 43AM - Organic Chem Lab - Majors (A),91.4%,94.3%,6.84,B- (2.91)
"Pomeroy, Robert S.",FA20,CHEM 6A - General Chemistry I (A),92.6%,88.5%,6.06,B+ (3.37)
"Schurmeier, Kimberly",FA20,CHEM 6A - General Chemistry I (B),85.7%,83.9%,5.88,B- (2.81)
"Brydges, Stacey",FA20,CHEM 6A - General Chemistry I (C),92.0%,97.5%,6.37,B+ (3.43)
"Brydges, Stacey",FA20,CHEM 6A - General Chemistry I (E),92.3%,92.7%,6.41,B+ (3.33)
"Bussey, Thomas J",FA20,CHEM 6A - General Chemistry I (F),98.8%,99.4%,6.23,B+ (3.35)
"Lam, Tin Yiu",FA20,CHEM 6A - General Chemistry I (H),89.6%,85.6%,5.73,B (3.21)
"Zid, Brian M",FA20,CHEM 6A - General Chemistry I (I),97.3%,98.9%,5.43,B+ (3.60)
"Crowell, John E",FA20,CHEM 6A - General Chemistry I (J),60.8%,29.5%,5.85,B+ (3.34)
"Bussey, Thomas J",FA20,CHEM 6A - General Chemistry I (K),97.6%,98.6%,6.06,B+ (3.46)
